SL,Heat,Virus,Random
2995,49.55302121,1,0.011382038
7338,49.50380152,0,0.011383641
3099,49.19367747,0,0.011387928
941,49.50020008,1,0.011450944
2251,49.51860744,2,0.011451755
1595,49.58063225,1,0.011468245
8675,49.36334534,2,0.011529982
7894,49.56022409,2,0.011626355
1833,49.66466587,2,0.011751665
8722,49.99039616,1,0.011769098
8275,49.61864746,0,0.011829654
2261,49.57422969,2,0.011844307
5178,49.77310924,0,0.011849025
3697,49.45938375,0,0.011921012
458,49.38615446,1,0.011936987
4329,49.43697479,0,0.01194284
1086,49.66426571,1,0.011960133
371,49.68147259,1,0.011963191
6551,49.61384554,1,0.011987608
4255,49.61704682,1,0.012017644
4652,49.53381353,0,0.012026393
3722,49.53021208,2,0.012211167
4594,49.60744298,1,0.012224081
934,49.44897959,1,0.012275421
6513,49.61784714,1,0.012275551
3754,49.39055622,0,0.012323615
5169,49.78071228,2,0.012323995
4012,49.53461385,1,0.012371486
7316,49.41416567,0,0.012395956
1427,49.62384954,2,0.012441981
296,49.49219688,1,0.012452853
6678,49.32533013,2,0.012468665
1640,49.46938776,2,0.012478022
8589,49.61784714,0,0.012498727
4831,49.38095238,0,0.012499601
4238,49.45578231,1,0.012527976
5618,49.59543818,1,0.012528187
7069,49.66346539,0,0.01255106
4042,49.50820328,1,0.012574783
726,49.31412565,2,0.012582203
441,49.64705882,0,0.012596182
641,49.53621449,0,0.012613242
9224,49.52260904,0,0.012680092
6577,49.19807923,2,0.012760444
4013,49.44977991,0,0.012776956
1941,49.47619048,1,0.012784158
7088,49.66546619,2,0.01282796
682,49.06442577,0,0.012849644
7466,49.5310124,1,0.012854092
3750,49.77230892,0,0.012935433
7371,49.65906363,0,0.012973761
5767,49.54941977,2,0.012982538
7809,49.64385754,2,0.013149926
9966,50.04041617,0,0.013170395
3594,49.46338535,1,0.013200925
6085,49.66026411,2,0.013223382
7073,49.59863946,2,0.013233321
1413,49.39415766,2,0.013256618
4672,50.20688275,0,0.013333423
6627,49.3977591,0,0.013373189
8142,49.29411765,0,0.013395416
8798,49.69787915,0,0.013413625
6476,49.81792717,1,0.013486588
5238,49.31452581,2,0.013576665
3750,49.24529812,1,0.013588137
2409,49.31732693,0,0.013589142
7021,49.61144458,1,0.013630417
8485,49.46378551,2,0.013654656
8154,49.67426971,2,0.013693644
9757,49.52220888,1,0.013727835
3615,49.57623049,0,0.013739274
1942,49.49379752,0,0.013748449
8331,49.57422969,2,0.013754734
1997,49.515006,2,0.013818325
8548,49.98279312,0,0.013825933
6828,49.5290116,1,0.013858342
9433,49.86954782,0,0.013863671
8006,49.76510604,1,0.013870148
3057,49.60904362,0,0.013898535
5307,49.43937575,2,0.013988449
1178,49.61984794,1,0.014015309
6161,49.27531012,2,0.014049183
4208,49.65186074,1,0.01405032
2019,49.59903962,1,0.014089179
4371,49.59663866,0,0.014114915
1362,49.1052421,2,0.014126447
7680,49.67146859,1,0.014134537
9630,49.51980792,0,0.014172993
5215,49.68707483,1,0.014179573
7651,49.67907163,2,0.01420503
6350,49.66786715,2,0.014222179
8094,49.73709484,2,0.01427847
4355,49.38135254,2,0.014488776
2733,49.28531413,0,0.014546068
6245,49.6242497,0,0.014558359
1320,49.68347339,0,0.014572868
6431,49.63545418,2,0.014580522
2927,49.65146058,1,0.01459684
9262,49.67186875,2,0.014623278
3368,49.59383754,0,0.014623548
3362,49.47539016,0,0.014627892
5212,49.67947179,0,0.014633279
4354,49.48939576,1,0.014686117
9820,49.73069228,0,0.014785336
5284,49.7194878,0,0.014800602
6722,49.56502601,1,0.014814671
6309,49.5270108,1,0.014828183
6311,49.56662665,1,0.014838281
9599,49.49419768,2,0.014877883
4950,49.55342137,2,0.01489744
8108,49.26170468,0,0.014907039
6424,49.47499,2,0.014908035
5429,49.55462185,1,0.014914821
9340,49.71268507,2,0.014920398
3528,49.63665466,2,0.014972548
2126,49.48739496,1,0.015021396
